game_id,name,yearpublished,minplayers,maxplayers,playingtime,age,description,thumbnail,image,boardgamepublisher,boardgamedesigner,boardgameartist,boardgamehonor,boardgamemechanic,boardgamecategory,boardgamesubdomain,usersrated,average,rank
174430,Gloomhaven,2017,1,4,120,12,"Gloomhaven is a game of Euro-inspired tactical combat in a persistent world of shifting motives. Players will take on the role of a wandering adventurer with their own special set of skills and their own reasons for traveling to this dark corner of the world. Players must work together out of necessity to clear out menacing dungeons and forgotten ruins. In the process, they will enhance their abilities with experience and loot, discover new locations to explore and plunder, and expand an ever-branching story fueled by the decisions they make.<br/><br/>This is a game with a persistent and changing world that is ideally played over many game sessions. After a scenario, players will make decisions on what to do, which will determine how the story continues, kind of like a &ldquo;Choose Your Own Adventure&rdquo; book. Playing through a scenario is a cooperative affair where players will fight against automated monsters using an innovative card system to determine the order of play and what a player does on their turn.<br/><br/>Each turn, a player chooses two cards to play out of their hand. The number on the top card determines their initiative for the round. Each card also has a top and bottom power, and when it is a player&rsquo;s turn in the initiative order, they determine whether to use the top power of one card and the bottom power of the other, or vice-versa. Players must be careful, though, because over time they will permanently lose cards from their hands. If they take too long to clear a dungeon, they may end up exhausted and be forced to retreat.<br/><br/>",https://cf.geekdo-images.com/thumb/img/e7GyV4PaNtwmalU-EQAGecwoBSI=/fit-in/200x150/pic2437871.jpg,https://cf.geekdo-images.com/original/img/lDN358RgcYvQfYYN6Oy2TXpifyM=/0x0/pic2437871.jpg,Cephalofair Games;Feuerland Spiele;Hobby World,Isaac Childres,Alexandr Elichev;Josh T. McDowell;Alvaro Nebot,17,Action / Movement Programming;Co-operative Play;Grid Movement;Hand Management;Modular Board;Role Playing;Simultaneous Action Selection;Storytelling;Variable Player Powers,Adventure;Exploration;Fantasy;Fighting;Miniatures,Strategy Games;Thematic Games,13460,9.02444,1
161936,Pandemic Legacy: Season 1,2015,2,4,60,13,"Pandemic Legacy is a co-operative campaign game, with an overarching story-arc played through 12-24 sessions, depending on how well your group does at the game. At the beginning, the game starts very similar to basic Pandemic, in which your team of disease-fighting specialists races against the clock to travel around the world, treating disease hotspots while researching cures for each of four plagues before they get out of hand.<br/><br/>During a player's turn, they have four actions available, with which they may travel around in the world in various ways (sometimes needing to discard a card), build structures like research stations, treat diseases (removing one cube from the board; if all cubes of a color have been removed, the disease has been eradicated), trade cards with other players, or find a cure for a disease (requiring five cards of the same color to be discarded while at a research station). Each player has a unique role with special abilities to help them at these actions.<br/><br/>After a player has taken their actions, they draw two cards. These cards can include epidemic cards, which will place new disease cubes on the board, and can lead to an outbreak, spreading disease cubes even further. Outbreaks additionally increase the panic level of a city, making that city more expensive to travel to.<br/><br/>Each month in the game, you have two chances to achieve that month's objectives. If you succeed, you win and immediately move on to the next month. If you fail, you have a second chance, with more funding for beneficial event cards.<br/><br/>During the campaign, new rules and components will be introduced. These will sometimes require you to permanently alter the components of the game; this includes writing on cards, ripping up cards, and placing permanent stickers on components. Your characters can gain new skills, or detrimental effects. A character can even be lost entirely, at which point it's no longer available for play.<br/><br/>Part of the Pandemic series<br/><br/>",https://cf.geekdo-images.com/thumb/img/WI5NmPd9C3PpRvHKoP4a0Ettlao=/fit-in/200x150/pic2452831.png,https://cf.geekdo-images.com/original/img/P_SwsOtPLqgk2ScCgI2YrI9Rg6I=/0x0/pic2452831.png,"Z-Man Games;Asterion Press;Devir;Filosofia Éditions;Gém Klub Kft.;Hobby Japan;Jolly Thinkers;Korea Boardgames co., Ltd.;Lacerta;Lifestyle Boardgames Ltd;MINDOK",Rob Daviau;Matt Leacock,Chris Quilliams,20,Action Point Allowance System;Co-operative Play;Hand Management;Point to Point Movement;Set Collection;Trading;Variable Player Powers,Environmental;Medical,Strategy Games;Thematic Games,24981,8.6642,2
182028,Through the Ages: A New Story of Civilization,2015,2,4,240,14,"Through the Ages: A New Story of Civilization is the new edition of Through the Ages: A Story of Civilization, with many changes small and large to the game's cards over its three ages and extensive changes to how military works.<br/><br/>Through the Ages is a civilization building game. Each player attempts to build the best civilization through careful resource management, discovering new technologies, electing the right leaders, building wonders and maintaining a strong military. Weakness in any area can be exploited by your opponents. The game takes place throughout the ages beginning in the age of antiquity and ending in the modern age.<br/><br/>One of the primary mechanisms in TTA is card drafting. Technologies, wonders, and leaders come into play and become easier to draft the longer they are in play. In order to use a technology you will need enough science to discover it, enough food to create a population to man it and enough resources (ore) to build the building to use it. While balancing the resources needed to advance your technology you also need to build a military. Military is built in the same way as civilian buildings. Players that have a weak military will be preyed upon by other players. There is no map in the game so you cannot lose territory, but players with higher military will steal resources, science, kill leaders, take population or culture. It is very difficult to win with a large military, but it is very easy to lose because of a weak one.<br/><br/>Victory is achieved by the player whose nation has the most culture at the end of the modern age.<br/><br/>",https://cf.geekdo-images.com/thumb/img/Ohqc2KTYdureA4PNjMqLXP4mUlU=/fit-in/200x150/pic2663291.jpg,https://cf.geekdo-images.com/original/img/1d2h-kr4r_9xsss2Br6iMvjR9q0=/0x0/pic2663291.jpg,Czech Games Edition;Cranio Creations;Devir;DiceTree Games;Eagle-Gryphon Games;GaGa Games;Gém Klub Kft.;Heidelberger Spieleverlag;IELLO;MINDOK;One Moment Games;Rebel,Vlaada Chvátil,Jakub Politzer;Milan Vavroň,3,Action Point Allowance System;Auction/Bidding;Card Drafting,Card Game;Civilization;Economic,Strategy Games,11527,8.64001,3
12333,Twilight Struggle,2005,2,2,180,13,"&quot;Now the trumpet summons us again, not as a call to bear arms, though arms we need; not as a call to battle, though embattled we are &ndash; but a call to bear the burden of a long twilight struggle...&quot;<br/>&ndash; John F. Kennedy<br/><br/>In 1945, unlikely allies toppled Hitler's war machine, while humanity's most devastating weapons forced the Japanese Empire to its knees in a storm of fire. Where once there stood many great powers, there then stood only two. The world had scant months to sigh its collective relief before a new conflict threatened. Unlike the titanic struggles of the preceding decades, this conflict would be waged not primarily by soldiers and tanks, but by spies and politicians, scientists and intellectuals, artists and traitors. Twilight Struggle is a two-player game simulating the forty-five year  dance of intrigue, prestige, and occasional flares of warfare between the Soviet Union and the United States. The entire world is the stage on which these two titans fight to make the world safe for their own ideologies and ways of life. The game begins amidst the ruins of Europe as the two new &quot;superpowers&quot; scramble over the wreckage of the Second World War, and ends in 1989, when only the United States remained standing.<br/><br/>Twilight Struggle inherits its fundamental systems from the card-driven classics We the People and Hannibal: Rome vs. Carthage. It is a quick-playing, low-complexity game in that tradition. The game map is a world map of the period, whereon players move units and exert influence in attempts to gain allies and control for their superpower. As with GMT's other card-driven games, decision-making is a challenge; how to best use one's cards and units given consistently limited resources?<br/><br/>Twilight Struggle's Event cards add detail and flavor to the game. They cover a vast array of historical happenings, from the Arab-Israeli conflicts of 1948 and 1967, to Vietnam and the U.S. peace movement, to the Cuban Missile Crisis and other such incidents that brought the world to the brink of nuclear annihilation. Subsystems capture the prestige-laden Space Race as well as nuclear tensions, with the possibility of game-ending nuclear war.<br/><br/>Components (original edition):<br/><br/><br/>     228 full colour counters <br/>     22&quot;x34&quot; full colour map <br/>     103 event cards <br/>     2 six-sided dice<br/>     1 24-page rulebook<br/>     2 full colour player aid cards<br/><br/><br/>Components (2009 Deluxe edition and after)<br/><br/>     260 full colour counters <br/>     22&quot;x34&quot; mounted map with revised graphics<br/>     110 event cards<br/>     2 six-sided dice<br/>     1 24-page rulebook<br/>     2 full colour player aid cards<br/><br/><br/><br/><br/>TIME SCALE:     approx. 3-5 years per turn<br/>MAP SCALE:     Point-to-point system<br/>UNIT SCALE:     Influence markers<br/>NUMBER OF PLAYERS:     2<br/><br/>DESIGNER: Ananda Gupta &amp; Jason Matthews<br/>MAP, CARD, &amp; COUNTER ART: Mark Simonitch<br/><br/><br/>A deluxe edition, published in 2009 includes the following changes from the basic game:<br/><br/>     Mounted map with revised graphics<br/>     Two double-thick counter sheets with 260 counters<br/>     Deck of 110 event cards (increased from 103)<br/>     Revised rules and player aid cards<br/>     Revised at start setup and text change for card #98 Aldrich Ames<br/><br/><br/><br/><br/>Upgrade kit for the owners of the previous version includes the following:<br/><br/>     Mounted Map with revised graphics<br/>     New card decks<br/>     Updated Rules &amp; Charts<br/><br/><br/><br/><br/>",https://cf.geekdo-images.com/thumb/img/mEmeJrI3AbGTpWyeFOZnR0s_LcY=/fit-in/200x150/pic361592.jpg,https://cf.geekdo-images.com/original/img/ZPnnm7v2RTJ6fAZeeseA5WbC9DU=/0x0/pic361592.jpg,GMT Games;(Self-Published);Asterion Press;Bard Centrum Gier;Chrononauts Games;Devir;DiceTree Games;MINDOK;Udo Grebe Gamedesign;Wargames Club Publishing,Ananda Gupta;Jason Matthews,Viktor Csete;Rodger B. MacGowan;Chechu Nieto;Guillaume Ries;Mark Simonitch,13,Area Control / Area Influence;Campaign / Battle Card Driven;Dice Rolling;Hand Management;Simultaneous Action Selection,Modern Warfare;Political;Wargame,Strategy Games;Wargames,30619,8.34658,4
167791,Terraforming Mars,2016,1,5,120,12,"In the 2400s, mankind begins to terraform the planet Mars. Giant corporations, sponsored by the World Government on Earth, initiate huge projects to raise the temperature, the oxygen level, and the ocean coverage until the environment is habitable. In Terraforming Mars, you play one of those corporations and work together in the terraforming process, but compete for getting victory points that are awarded not only for your contribution to the terraforming, but also for advancing human infrastructure throughout the solar system, and doing other commendable things.<br/><br/>The players acquire unique project cards (from over two hundred different ones) by buying them to their hand. The projects (cards) can represent anything from introducing plant life or animals, hurling asteroids at the surface, building cities, to mining the moons of Jupiter and establishing greenhouse gas industries to heat up the atmosphere. The cards can give you immediate bonuses, as well as increasing your production of different resources. Many cards also have requirements and they become playable when the temperature, oxygen, or ocean coverage increases enough. Buying cards is costly, so there is a balance between buying cards (3 megacredits per card) and actually playing them (which can cost anything between 0 to 41 megacredits, depending on the project). Standard Projects are always available to complement your cards.<br/><br/>Your basic income, as well as your basic score, is based on your Terraform Rating (starting at 20), which increases every time you raise one of the three global parameters. However, your income is complemented with your production, and you also get VPs from many other sources.<br/><br/>Each player keeps track of their production and resources on their player boards, and the game uses six types of resources: MegaCredits, Steel, Titanium, Plants, Energy, and Heat. On the game board, you compete for the best places for your city tiles, ocean tiles, and greenery tiles. You also compete for different Milestones and Awards worth many VPs. Each round is called a generation (guess why) and consists of the following phases:<br/><br/>1) Player order shifts clockwise.<br/>2) Research phase: All players buy cards from four privately drawn.<br/>3) Action phase: Players take turns doing 1-2 actions from these options: Playing a card, claiming a Milestone, funding an Award, using a Standard project, converting plant into greenery tiles (and raising oxygen), converting heat into a temperature raise, and using the action of a card in play. The turn continues around the table (sometimes several laps) until all players have passed.<br/>4) Production phase: Players get resources according to their terraform rating and production parameters.<br/><br/>When the three global parameters (temperature, oxygen, ocean) have all reached their goal, the terraforming is complete, and the game ends after that generation. Count your Terraform Rating and other VPs to determine the winning corporation!<br/><br/>",https://cf.geekdo-images.com/thumb/img/yFqQ569DfL8NSTGTUw0vF9SCR7k=/fit-in/200x150/pic3536616.jpg,https://cf.geekdo-images.com/original/img/o8z_levBVArPUKI7ZrIysZEs1A0=/0x0/pic3536616.jpg,"FryxGames;Arclight;Ghenos Games;Intrafin Games;Korea Boardgames co., Ltd.;Lavka Games;Maldito Games;Meeple BR Jogos;MINDOK;MYBG Co., Ltd.;Rebel;Reflexshop;Schwerkraft-Verlag;Stronghold Games",Jacob Fryxelius,Isaac Fryxelius,16,Card Drafting;Hand Management;Tile Placement;Variable Player Powers,Economic;Environmental;Industry / Manufacturing;Science Fiction;Territory Building,Strategy Games,23497,8.38112,5
187645,Star Wars: Rebellion,2016,2,4,240,14,"From the publisher:<br/><br/>Star Wars: Rebellion is a board game of epic conflict between the Galactic Empire and Rebel Alliance for two to four players!<br/><br/>Experience the Galactic Civil War like never before. In Rebellion, you control the entire Galactic Empire or the fledgling Rebel Alliance. You must command starships, account for troop movements, and rally systems to your cause. Given the differences between the Empire and Rebel Alliance, each side has different win conditions, and you'll need to adjust your play style depending on who you represent:<br/><br/>     As the Imperial player, you can command legions of Stormtroopers, swarms of TIEs, Star Destroyers, and even the Death Star. You rule the galaxy by fear, relying on the power of your massive military to enforce your will. To win the game, you need to snuff out the budding Rebel Alliance by finding its base and obliterating it. Along the way, you can subjugate worlds or even destroy them.<br/>     As the Rebel player, you can command dozens of troopers, T-47 airspeeders, Corellian corvettes, and fighter squadrons. However, these forces are no match for the Imperial military. In terms of raw strength, you'll find yourself clearly overmatched from the very outset, so you'll need to rally the planets to join your cause and execute targeted military strikes to sabotage Imperial build yards and steal valuable intelligence. To win the Galactic Civil War, you'll need to sway the galaxy's citizens to your cause. If you survive long enough and strengthen your reputation, you inspire the galaxy to a full-scale revolt, and you win.<br/><br/><br/><br/><br/>Featuring more than 150 plastic miniatures and two game boards that account for thirty-two of the Star Wars galaxy's most notable systems, Rebellion features a scope that is as large and sweeping as any Star Wars game before it.<br/><br/>Yet for all its grandiosity, Rebellion remains intensely personal, cinematic, and heroic. As much as your success depends upon the strength of your starships, vehicles, and troops, it depends upon the individual efforts of such notable characters as Leia Organa, Mon Mothma, Grand Moff Tarkin, and Emperor Palpatine. As civil war spreads throughout the galaxy, these leaders are invaluable to your efforts, and the secret missions they attempt will evoke many of the most inspiring moments from the classic trilogy. You might send Luke Skywalker to receive Jedi training on Dagobah or have Darth Vader spring a trap that freezes Han Solo in carbonite!<br/><br/>",https://cf.geekdo-images.com/thumb/img/CoXabDwJn3dHxJaOo3GB7GOqOVE=/fit-in/200x150/pic3167731.jpg,https://cf.geekdo-images.com/original/img/v_MkttaXaur9xmghElqO4PJwwFE=/0x0/pic3167731.jpg,Fantasy Flight Games;ADC Blackfire Entertainment;Asterion Press;Delta Vision Publishing;Edge Entertainment;Galakta;Heidelberger Spieleverlag,Corey Konieczka,,12,Area Control / Area Influence;Area Movement;Dice Rolling;Hand Management;Partnerships;Variable Player Powers,Fighting;Miniatures;Movies / TV / Radio theme;Science Fiction;Wargame,Strategy Games;Thematic Games,12633,8.49377,6
120677,Terra Mystica,2012,2,5,150,12,"In the land of Terra Mystica dwell 14 different peoples in seven landscapes, and each group is bound to its own home environment, so to develop and grow, they must terraform neighboring landscapes into their home environments in competition with the other groups.<br/><br/>Terra Mystica is a game with very little luck that rewards strategic planning. Each player governs one of the 14 groups. With subtlety and craft, the player must attempt to rule as great an area as possible and to develop that group's skills. There are also four religious cults in which you can progress. To do all that, each group has special skills and abilities.<br/><br/>Taking turns, the players execute their actions on the resources they have at their disposal. Different buildings allow players to develop different resources. Dwellings allow for more workers. Trading houses allow players to make money. Strongholds unlock a group's special ability, and temples allow you to develop religion and your terraforming and seafaring skills. Buildings can be upgraded: Dwellings can be developed into trading houses; trading houses can be developed into strongholds or temples; one temple can be upgraded to become a sanctuary. Each group must also develop its terraforming skill and its skill with boats to use the rivers. The groups in question, along with their home landscape, are:<br/><br/><br/>    Desert (Fakirs, Nomads)<br/>    Plains (Halflings, Cultists)<br/>    Swamp (Alchemists, Darklings)<br/>    Lake (Mermaids, Swarmlings)<br/>    Forest (Witches, Auren)<br/>    Mountain (Dwarves, Engineers)<br/>    Wasteland (Giants, Chaos Magicians)<br/><br/><br/>Proximity to other groups is a double-edged sword in Terra Mystica. Being close to other groups gives you extra power, but it also means that expanding is more difficult...<br/><br/>",https://cf.geekdo-images.com/thumb/img/P-H2xOKpbkVCoDTGOZL_B8jLdgc=/fit-in/200x150/pic1356616.jpg,https://cf.geekdo-images.com/original/img/CynjY3GgwPTg34abNIv8eLX1pXs=/0x0/pic1356616.jpg,"Feuerland Spiele;Bard Centrum Gier;Cranio Creations;Devir;Filosofia Éditions;FunBox Jogos;HomoLudicus;MINDOK;Swan Panasia Co., Ltd.;テンデイズゲームズ (Ten Days Games);White Goblin Games;Z-Man Games;Zvezda",Jens Drögemüller;Helge Ostertag,Dennis Lohausen,22,Area Control / Area Influence;Route/Network Building;Variable Phase Order;Variable Player Powers,Civilization;Economic;Fantasy;Territory Building,Strategy Games,28537,8.25004,7
169786,Scythe,2016,1,5,115,14,"It is a time of unrest in 1920s Europa. The ashes from the first great war still darken the snow. The capitalistic city-state known simply as &ldquo;The Factory&rdquo;, which fueled the war with heavily armored mechs, has closed its doors, drawing the attention of several nearby countries.<br/><br/>Scythe is an engine-building game set in an alternate-history 1920s period. It is a time of farming and war, broken hearts and rusted gears, innovation and valor. In Scythe, each player represents a character from one of five factions of Eastern Europe who are attempting to earn their fortune and claim their faction's stake in the land around the mysterious Factory. Players conquer territory, enlist new recruits, reap resources, gain villagers, build structures, and activate monstrous mechs.<br/><br/>Each player begins the game with different resources (power, coins, combat acumen, and popularity), a different starting location, and a hidden goal. Starting positions are specially calibrated to contribute to each faction&rsquo;s uniqueness and the asymmetrical nature of the game (each faction always starts in the same place).<br/><br/>Scythe gives players almost complete control over their fate. Other than each player&rsquo;s individual hidden objective card, the only elements of luck or variability are &ldquo;encounter&rdquo; cards that players will draw as they interact with the citizens of newly explored lands. Each encounter card provides the player with several options, allowing them to mitigate the luck of the draw through their selection. Combat is also driven by choices, not luck or randomness.<br/><br/>Scythe uses a streamlined action-selection mechanism (no rounds or phases) to keep gameplay moving at a brisk pace and reduce downtime between turns. While there is plenty of direct conflict for players who seek it, there is no player elimination.<br/><br/>Every part of Scythe has an aspect of engine-building to it. Players can upgrade actions to become more efficient, build structures that improve their position on the map, enlist new recruits to enhance character abilities, activate mechs to deter opponents from invading, and expand their borders to reap greater types and quantities of resources. These engine-building aspects create a sense of momentum and progress throughout the game. The order in which players improve their engine adds to the unique feel of each game, even when playing one faction multiple times.<br/><br/>",https://cf.geekdo-images.com/thumb/img/ZpuWhZuKrFry__SY8CTRuQp35rk=/fit-in/200x150/pic3163924.jpg,https://cf.geekdo-images.com/original/img/enxCZt0Cn78-rlvmPvGtOej1ios=/0x0/pic3163924.jpg,Stonemaier Games;Albi;Arclight;Crowd Games;Delta Vision Publishing;Feuerland Spiele;Fire on Board Jogos;Ghenos Games;Maldito Games;Matagot;Morning;PHALANX;Playfun Games,Jamey Stegmaier,Jakub Rozalski,22,Area Control / Area Influence;Grid Movement;Simultaneous Action Selection;Variable Player Powers,Civilization;Economic;Fighting;Miniatures;Science Fiction;Territory Building,Strategy Games,27204,8.29987,8
193738,Great Western Trail,2016,2,4,150,12,"Description from the publisher:<br/><br/>America in the 19th century: You are a rancher and repeatedly herd your cattle from Texas to Kansas City, where you send them off by train. This earns you money and victory points. Needless to say, each time you arrive in Kansas City, you want to have your most valuable cattle in tow. However, the &quot;Great Western Trail&quot; not only requires that you keep your herd in good shape, but also that you wisely use the various buildings along the trail. Also, it might be a good idea to hire capable staff: cowboys to improve your herd, craftsmen to build your very own buildings, or engineers for the important railroad line.<br/><br/>If you cleverly manage your herd and navigate the opportunities and pitfalls of Great Western Trail, you surely will gain the most victory points and win the game.<br/><br/>",https://cf.geekdo-images.com/thumb/img/ojTMe48mgDcQdcrHJ1d_CSLtc7w=/fit-in/200x150/pic3113247.jpg,https://cf.geekdo-images.com/original/img/U3RnjWjCHNkm4LVps_HNDHeuUI4=/0x0/pic3113247.jpg,"eggertspiele;999 Games;Arclight;Broadway Toys LTD;Conclave Editora;Delta Vision Publishing;Ediciones MasQueOca;Gigamic;Korea Boardgames co., Ltd.;Lacerta;Ludicus;MINDOK;Pegasus Spiele;Stronghold Games;uplay.it edizioni;Zvezda",Alexander Pfister,Andreas Resch,13,Deck / Pool Building;Hand Management;Point to Point Movement,American West,Strategy Games,12329,8.2843,9
173346,7 Wonders Duel,2015,2,2,30,10,"In many ways 7 Wonders Duel resembles its parent game 7 Wonders as over three ages players acquire cards that provide resources or advance their military or scientific development in order to develop a civilization and complete wonders.<br/><br/>What's different about 7 Wonders Duel is that, as the title suggests, the game is solely for two players, with the players not drafting cards simultaneously from hands of cards, but from a display of face-down and face-up cards arranged at the start of a round. A player can take a card only if it's not covered by any others, so timing comes into play as well as bonus moves that allow you to take a second card immediately. As in the original game, each card that you acquire can be built, discarded for coins, or used to construct a wonder.<br/><br/>Each player starts with four wonder cards, and the construction of a wonder provides its owner with a special ability. Only seven wonders can be built, though, so one player will end up short.<br/><br/>Players can purchase resources at any time from the bank, or they can gain cards during the game that provide them with resources for future building; as you acquire resources, the cost for those particular resources increases for your opponent, representing your dominance in this area.<br/><br/>A player can win 7 Wonders Duel in one of three ways: each time you acquire a military card, you advance the military marker toward your opponent's capital, giving you a bonus at certain positions; if you reach the opponent's capital, you win the game immediately; similarly, if you acquire any six of seven different scientific symbols, you achieve scientific dominance and win immediately; if none of these situations occurs, then the player with the most points at the end of the game wins.<br/><br/>",https://cf.geekdo-images.com/thumb/img/cwWMq5feF7O4O82HJOK3WE5IZ6o=/fit-in/200x150/pic3376065.jpg,https://cf.geekdo-images.com/original/img/M6wL1YFgW-PsdtJ328m2QiJf1K8=/0x0/pic3376065.jpg,Repos Production;ADC Blackfire Entertainment;Asterion Press;Galápagos Jogos;Gém Klub Kft.;Kaissa Chess & Games;Lautapelit.fi;Lifestyle Boardgames Ltd;Ludicus;Rebel;Sombreros Production,Antoine Bauza;Bruno Cathala,Miguel Coimbra,15,Card Drafting;Set Collection,Ancient;Card Game;City Building;Civilization,Strategy Games,30439,8.14925,10
